,Title,Date,Year,Month,Day,Day_of_week,Show_name,Season,Episode_name,Show_type
0,It's Always Sunny in Philadelphia: Season 1: The Gang Finds a Dead Guy,2021-10-12,2021,October,12,Tuesday,It's Always Sunny in Philadelphia, Season 1, The Gang Finds a Dead Guy,TV Show
1,Our Planet: Season 1: Coastal Seas,2021-09-12,2021,September,12,Sunday,Our Planet, Season 1, Coastal Seas,TV Show
2,Jumanji: The Next Level,2021-08-12,2021,August,12,Thursday,Jumanji, The Next Level,,TV Show
3,It's Always Sunny in Philadelphia: Season 1: Charlie Has Cancer,2021-08-12,2021,August,12,Thursday,It's Always Sunny in Philadelphia, Season 1, Charlie Has Cancer,TV Show
4,It's Always Sunny in Philadelphia: Season 1: Underage Drinking: A National Concern,2021-08-12,2021,August,12,Thursday,It's Always Sunny in Philadelphia, Season 1, Underage Drinking: A National Concern,TV Show
5,Our Planet: Season 1: Jungles,2021-08-12,2021,August,12,Thursday,Our Planet, Season 1, Jungles,TV Show
6,Our Planet: Season 1: The High Seas,2021-07-12,2021,July,12,Monday,Our Planet, Season 1, The High Seas,TV Show
7,It's Always Sunny in Philadelphia: Season 1: Charlie Wants an Abortion,2021-05-12,2021,May,12,Wednesday,It's Always Sunny in Philadelphia, Season 1, Charlie Wants an Abortion,TV Show
8,It's Always Sunny in Philadelphia: Season 1: The Gang Gets Racist,2021-05-12,2021,May,12,Wednesday,It's Always Sunny in Philadelphia, Season 1, The Gang Gets Racist,TV Show
9,Disjointed: Part 1: Omega Strain,2021-03-12,2021,March,12,Friday,Disjointed, Part 1, Omega Strain,TV Show
10,It's Always Sunny in Philadelphia: Season 14: Waiting for Big Mo,2021-03-12,2021,March,12,Friday,It's Always Sunny in Philadelphia, Season 14, Waiting for Big Mo,TV Show
11,It's Always Sunny in Philadelphia: Season 14: Paddy's Has a Jumper,2021-03-12,2021,March,12,Friday,It's Always Sunny in Philadelphia, Season 14, Paddy's Has a Jumper,TV Show
12,It's Always Sunny in Philadelphia: Season 14: A Woman’s Right to Chop,2021-02-12,2021,February,12,Friday,It's Always Sunny in Philadelphia, Season 14, A Woman’s Right to Chop,TV Show
13,It's Always Sunny in Philadelphia: Season 14: The Gang Solves Global Warming,2021-02-12,2021,February,12,Friday,It's Always Sunny in Philadelphia, Season 14, The Gang Solves Global Warming,TV Show
14,It's Always Sunny in Philadelphia: Season 14: The Janitor Always Mops Twice,2021-02-12,2021,February,12,Friday,It's Always Sunny in Philadelphia, Season 14, The Janitor Always Mops Twice,TV Show
15,It's Always Sunny in Philadelphia: Season 14: The Gang Texts,2021-02-12,2021,February,12,Friday,It's Always Sunny in Philadelphia, Season 14, The Gang Texts,TV Show
16,It's Always Sunny in Philadelphia: Season 14: The Gang Chokes,2021-02-12,2021,February,12,Friday,It's Always Sunny in Philadelphia, Season 14, The Gang Chokes,TV Show
17,It's Always Sunny in Philadelphia: Season 14: Thunder Gun 4: Maximum Cool,2021-02-12,2021,February,12,Friday,It's Always Sunny in Philadelphia, Season 14, Thunder Gun 4: Maximum Cool,TV Show
18,It's Always Sunny in Philadelphia: Season 14: The Gang Gets Romantic,2021-01-12,2021,January,12,Tuesday,It's Always Sunny in Philadelphia, Season 14, The Gang Gets Romantic,TV Show
19,It's Always Sunny in Philadelphia: Season 13: Mac Finds His Pride,2021-01-12,2021,January,12,Tuesday,It's Always Sunny in Philadelphia, Season 13, Mac Finds His Pride,TV Show
20,It's Always Sunny in Philadelphia: Season 13: The Gang Wins the Big Game,2021-01-12,2021,January,12,Tuesday,It's Always Sunny in Philadelphia, Season 13, The Gang Wins the Big Game,TV Show
21,It's Always Sunny in Philadelphia: Season 13: Charlie's Home Alone,2021-01-12,2021,January,12,Tuesday,It's Always Sunny in Philadelphia, Season 13, Charlie's Home Alone,TV Show
22,It's Always Sunny in Philadelphia: Season 13: The Gang Does a Clip Show,2021-01-12,2021,January,12,Tuesday,It's Always Sunny in Philadelphia, Season 13, The Gang Does a Clip Show,TV Show
23,It's Always Sunny in Philadelphia: Season 13: The Gang Solves the Bathroom Problem,2021-01-12,2021,January,12,Tuesday,It's Always Sunny in Philadelphia, Season 13, The Gang Solves the Bathroom Problem,TV Show
24,It's Always Sunny in Philadelphia: Season 13: The Gang Gets New Wheels,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 13, The Gang Gets New Wheels,TV Show
25,It's Always Sunny in Philadelphia: Season 13: Time's Up for the Gang,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 13, Time's Up for the Gang,TV Show
26,It's Always Sunny in Philadelphia: Season 13: The Gang Beats Boggs: Ladies Reboot,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 13, The Gang Beats Boggs: Ladies Reboot,TV Show
27,It's Always Sunny in Philadelphia: Season 13: The Gang Escapes,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 13, The Gang Escapes,TV Show
